pin,tax_year,card_num,class,township_code,proration_key_pin,pin_proration_rate,card_proration_rate,cdu,pin_is_multicard,pin_num_cards,pin_is_multiland,pin_num_landlines,year_built,building_sqft,land_sqft,num_bedrooms,num_rooms,num_full_baths,num_half_baths,num_fireplaces,type_of_residence,construction_quality,num_apartments,attic_finish,garage_attached,garage_area_included,garage_size,garage_ext_wall_material,attic_type,basement_type,ext_wall_material,central_heating,repair_condition,basement_finish,roof_material,single_v_multi_family,site_desirability,num_commercial_units,renovation,recent_renovation,porch,central_air,design_plan
32322030180000,2014,1,241,12.0,,1,0,AV,False,1,False,1,1968,-1,3100,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
2162090120000,1999,1,241,29.0,,1,0,AV,False,1,False,1,1941,-1,-1,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
5161060740000,2021,1,100,23.0,,1,0,AV,False,1,False,1,1904,84470,84470,1,5,1,0,0,2 Story,Average,-1,Unknown,No,No,2 cars,Masonry,Unknown,Slab,Masonry,Warm Air Furnace,Average,Unfinished,Shingle + Asphalt,Single-Family,Not Relevant To Value,0,No,False,Unknown,Central A/C,Stock Plan
8154001120000,2007,1,241,16.0,,1,0,AV,False,1,False,1,1965,-1,-1,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
10253150220000,2021,1,201,75.0,,1,-1,Unknown,False,1,False,1,1953,0,3720,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,-1,,False,Unknown,,Unknown
13152330150000,2009,1,241,71.0,13152330140000.0,0,0,AV,False,1,False,1,1960,-1,1960,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
13344070320000,2009,1,241,71.0,,1,0,AV,False,1,False,1,1923,-1,3125,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
14072110090000,2014,1,241,73.0,,1,0,AV,False,1,False,1,1962,-1,3125,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
14281070390000,2009,1,241,73.0,,1,0,GD,False,1,False,1,1975,-1,2568,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
16273050140000,2010,1,241,77.0,,1,0,AV,False,1,False,1,1905,-1,2616,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
17072080150000,2009,1,241,77.0,,1,0,AV,False,1,False,1,1992,-1,2928,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
20073010110000,2000,1,241,72.0,,1,0,AV,False,1,False,1,1948,-1,-1,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
20222110060000,2018,1,241,70.0,,1,0,AV,False,1,False,1,1920,-1,3050,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
26053140010000,2013,1,241,70.0,,1,0,AV,False,1,False,1,1919,-1,3100,-1,-1,-1,-1,-1,,Average,-1,Unknown,,,Unknown,Unknown,Unknown,,,Unknown,,Unknown,,,,0,,False,Unknown,,Unknown
